ROWID,TRUTH,TRAININGSET
4131.txt,3,0
4133.txt,-2,0
4136.txt,-2,0
4138.txt,4,0
4148.txt,4,0
4149.txt,4,0
4153.txt,4,0
4156.txt,4,0
4157.txt,4,0
4158.txt,-2,0
4159.txt,4,0
4160.txt,4,0
4164.txt,-1,0
4168.txt,4,0
4174.txt,4,0
4178.txt,4,0
4179.txt,-2,0
4183.txt,4,0
4185.txt,4,0
4186.txt,4,0
4189.txt,4,0
4190.txt,3,0
4194.txt,4,0
4197.txt,4,0
4199.txt,4,0
4200.txt,4,0
4206.txt,4,0
4208.txt,4,0
4209.txt,4,0
4210.txt,4,0
4211.txt,4,0
4212.txt,4,0
4214.txt,4,0
4218.txt,2,0
4219.txt,4,0
4220.txt,-2,0
4222.txt,4,0
4227.txt,4,0
4239.txt,-1,0
4240.txt,4,0
4241.txt,-2,0
4247.txt,4,0
4249.txt,4,0
4254.txt,-2,0
4258.txt,4,0
4261.txt,4,0
4262.txt,2,0
4268.txt,4,0
4274.txt,4,0
4278.txt,-2,0
4281.txt,4,0
4286.txt,4,0
4288.txt,4,0
4291.txt,4,0
4295.txt,4,0
4300.txt,4,0
4303.txt,4,0
4305.txt,4,0
4306.txt,-2,0
4307.txt,4,0
4312.txt,4,0
4313.txt,4,0
4315.txt,4,0
4317.txt,4,0
4318.txt,4,0
4320.txt,-2,0
4325.txt,4,0
4326.txt,4,0
4328.txt,4,0
4331.txt,4,0
4332.txt,4,0
4333.txt,4,0
4335.txt,3,0
4337.txt,4,0
4340.txt,4,0
4342.txt,4,0
4344.txt,4,0
4349.txt,4,0
4350.txt,-2,0
4356.txt,4,0
4358.txt,4,0
4359.txt,-2,0
4361.txt,4,0
4364.txt,4,0
4366.txt,4,0
4367.txt,4,0
4368.txt,4,0
4370.txt,-2,0
4374.txt,-2,0
4382.txt,-2,0
4383.txt,-2,0
4385.txt,-2,0
4387.txt,4,0
4391.txt,4,0
4392.txt,4,0
4393.txt,4,0
4395.txt,-2,0
4400.txt,3,0
4401.txt,4,0
4403.txt,-1,0
4406.txt,4,0
4407.txt,4,0
4411.txt,4,0
4414.txt,4,0
4417.txt,4,0
4419.txt,4,0
4420.txt,4,0
4422.txt,4,0
4424.txt,4,0
4426.txt,4,0
4429.txt,4,0
4430.txt,4,0
4432.txt,-2,0
4433.txt,-1,0
4437.txt,-1,0
4439.txt,4,0
4443.txt,4,0
4445.txt,4,0
4446.txt,4,0
4456.txt,4,0
4459.txt,-2,0
4460.txt,4,0
4461.txt,4,0
4463.txt,4,0
4468.txt,4,0
4474.txt,4,0
4476.txt,4,0
4479.txt,-2,0
4484.txt,4,0
4485.txt,-2,0
4487.txt,4,0
4488.txt,-1,0
4491.txt,4,0
4497.txt,1,0
4499.txt,4,0
4500.txt,-1,0
4503.txt,-2,0
4504.txt,4,0
4506.txt,4,0
4507.txt,4,0
4508.txt,4,0
4509.txt,-2,0
4510.txt,-2,0
4514.txt,4,0
4516.txt,4,0
4518.txt,-1,0
4520.txt,4,0
4521.txt,4,0
4524.txt,4,0
4525.txt,4,0
4527.txt,4,0
4529.txt,4,0
4532.txt,4,0
4533.txt,4,0
4534.txt,4,0
4540.txt,4,0
4543.txt,-1,0
4545.txt,4,0
4547.txt,-2,0
4549.txt,4,0
4551.txt,4,0
4557.txt,4,0
4558.txt,-2,0
4561.txt,-2,0
4564.txt,4,0
4565.txt,4,0
4567.txt,4,0
4573.txt,4,0
4577.txt,4,0
4587.txt,4,0
4590.txt,4,0
4592.txt,4,0
4593.txt,4,0
4595.txt,1,0
4598.txt,-2,0
4600.txt,-2,0
4601.txt,-1,0
4602.txt,4,0
4603.txt,-2,0
4606.txt,-2,0
4608.txt,4,0
4612.txt,4,0
4615.txt,4,0
4618.txt,4,0
4620.txt,-2,0
4622.txt,-1,0
4623.txt,4,0
4625.txt,4,0
4627.txt,4,0
4628.txt,4,0
4631.txt,4,0
4633.txt,-2,0
4637.txt,4,0
4642.txt,4,0
4646.txt,4,0
4647.txt,1,0
4648.txt,-1,0
4650.txt,4,0
4653.txt,4,0
4654.txt,4,0
4655.txt,4,0
4656.txt,-2,0
4658.txt,4,0
4660.txt,4,0
4667.txt,4,0
4668.txt,4,0
4670.txt,-2,0
4671.txt,4,0
4672.txt,4,0
4673.txt,1,0
4676.txt,-2,0
4680.txt,4,0
4681.txt,4,0
4682.txt,4,0
4683.txt,3,0
4684.txt,4,0
4685.txt,4,0
4689.txt,4,0
4691.txt,4,0
4693.txt,4,0
4694.txt,4,0
4698.txt,4,0
4699.txt,4,0
4709.txt,4,0
4711.txt,4,0
4713.txt,-2,0
4725.txt,4,0
4726.txt,4,0
4727.txt,4,0
4729.txt,4,0
4731.txt,4,0
4732.txt,4,0
4735.txt,-2,0
4738.txt,4,0
4741.txt,-2,0
4742.txt,-2,0
4748.txt,4,0
4753.txt,-2,0
4756.txt,2,0
4757.txt,4,0
4758.txt,4,0
4759.txt,4,0
4761.txt,1,0
4762.txt,4,0
4763.txt,-2,0
4765.txt,4,0
4768.txt,4,0
4772.txt,4,0
4774.txt,1,0
4775.txt,-2,0
4777.txt,-2,0
4778.txt,4,0
4779.txt,4,0
4782.txt,-2,0
4786.txt,4,0
4787.txt,4,0
4793.txt,4,0
4795.txt,4,0
4796.txt,4,0
4797.txt,-2,0
4798.txt,4,0
4800.txt,4,0
4801.txt,4,0
4804.txt,4,0
4810.txt,4,0
4813.txt,1,0
4817.txt,4,0
4818.txt,-1,0
4823.txt,4,0
4833.txt,4,0
4837.txt,-1,0
4839.txt,4,0
4844.txt,4,0
4848.txt,4,0
4849.txt,-2,0
4854.txt,4,0
4859.txt,4,0
4871.txt,4,0
4872.txt,4,0
4873.txt,-1,0
4874.txt,4,0
4875.txt,-2,0
4882.txt,4,0
4883.txt,4,0
4892.txt,-2,0
4893.txt,4,0
4897.txt,4,0
4898.txt,4,0
4899.txt,4,0
4905.txt,4,0
4908.txt,4,0
4909.txt,-1,0
4912.txt,-2,0
4915.txt,4,0
4917.txt,-2,0
4920.txt,1,0
4925.txt,4,0
4926.txt,4,0
4929.txt,4,0
4957.txt,4,0
4962.txt,-2,0
4964.txt,4,0
4967.txt,4,0
4968.txt,4,0
4970.txt,4,0
4971.txt,4,0
4972.txt,4,0
4974.txt,4,0
4976.txt,4,0
4977.txt,4,0
4979.txt,-2,0
4980.txt,-1,0
4981.txt,4,0
4982.txt,1,0
4984.txt,4,0
4986.txt,4,0
4988.txt,-2,0
4989.txt,-2,0
4991.txt,-1,0
4992.txt,4,0
4994.txt,2,0
4997.txt,-2,0
4998.txt,-2,0
4999.txt,-2,0
5001.txt,4,0
5002.txt,4,0
5003.txt,4,0
5006.txt,4,0
5012.txt,4,0
5013.txt,4,0
5014.txt,4,0
5015.txt,-1,0
5018.txt,4,0
5020.txt,-1,0
5021.txt,2,0
5022.txt,4,0
5023.txt,4,0
5024.txt,4,0
5027.txt,4,0
5028.txt,4,0
5029.txt,4,0
5031.txt,-2,0
5033.txt,3,0
5034.txt,4,0
5035.txt,4,0
5037.txt,-2,0
5038.txt,4,0
5039.txt,-2,0
5040.txt,-1,0
5041.txt,4,0
5042.txt,4,0
5043.txt,4,0
5044.txt,2,0
5047.txt,4,0
5050.txt,-1,0
5052.txt,4,0
5053.txt,4,0
5055.txt,-1,0
5056.txt,4,0
5057.txt,-2,0
5059.txt,4,0
5060.txt,-2,0
5061.txt,4,0
5062.txt,4,0
5065.txt,-2,0
5066.txt,4,0
5067.txt,4,0
5068.txt,4,0
5070.txt,4,0
5075.txt,4,0
5078.txt,4,0
5079.txt,4,0
5080.txt,4,0
5151.txt,3,0
5183.txt,3,0
5187.txt,3,0
5195.txt,4,0
5200.txt,4,0
5202.txt,-2,0
5204.txt,4,0
5206.txt,-2,0
5207.txt,4,0
5208.txt,-2,0
5209.txt,4,0
5210.txt,-1,0
5211.txt,4,0
5212.txt,-2,0
5213.txt,-1,0
5215.txt,4,0
5218.txt,4,0
5219.txt,4,0
5220.txt,-2,0
5221.txt,4,0
5222.txt,4,0
5223.txt,-2,0
5227.txt,4,0
5230.txt,4,0
5233.txt,4,0
5234.txt,-2,0
5242.txt,4,0
5243.txt,4,0
5244.txt,4,0
5248.txt,2,0
5249.txt,4,0
5251.txt,1,0
5257.txt,4,0
5260.txt,-2,0
5278.txt,4,0
5279.txt,4,0
5281.txt,4,0
5285.txt,4,0
5287.txt,4,0
5289.txt,4,0
5291.txt,4,0
5292.txt,4,0
5293.txt,4,0
5295.txt,4,0
5297.txt,4,0
5304.txt,4,0
5308.txt,-2,0
5311.txt,4,0
5312.txt,4,0
5313.txt,4,0
5316.txt,-2,0
5317.txt,2,0
5323.txt,4,0
5326.txt,4,0
5334.txt,4,0
5335.txt,4,0
5337.txt,3,0
5338.txt,1,0
5340.txt,-2,0
5343.txt,4,0
5350.txt,4,0
5352.txt,4,0
5354.txt,4,0
5357.txt,4,0
5358.txt,-1,0
5360.txt,-1,0
5363.txt,4,0
5364.txt,4,0
5366.txt,4,0
5379.txt,-2,0
5381.txt,-2,0
5382.txt,4,0
5383.txt,4,0
5384.txt,4,0
5388.txt,-1,0
5390.txt,4,0
5391.txt,-2,0
5396.txt,4,0
5413.txt,1,0
5417.txt,4,0
5421.txt,4,0
5422.txt,-1,0
5423.txt,2,0
5426.txt,4,0
5427.txt,2,0
5429.txt,4,0
5430.txt,4,0
5432.txt,4,0
5436.txt,4,0
5437.txt,4,0
5438.txt,-2,0
5442.txt,4,0
5443.txt,-1,0
5447.txt,-2,0
5458.txt,4,0
5459.txt,4,0
5460.txt,4,0
5470.txt,-1,0
5471.txt,4,0
5488.txt,4,0
5492.txt,4,0
5493.txt,4,0
5495.txt,4,0
5496.txt,4,0
5497.txt,4,0
5506.txt,1,0
5507.txt,-2,0
5508.txt,4,0
5511.txt,4,0
5517.txt,4,0
5519.txt,4,0
5522.txt,-2,0
5523.txt,4,0
5524.txt,3,0
5525.txt,-2,0
5526.txt,4,0
5527.txt,-2,0
5528.txt,4,0
5530.txt,-2,0
5532.txt,4,0
5534.txt,4,0
5536.txt,2,0
5537.txt,4,0
5538.txt,4,0
5539.txt,4,0
5542.txt,4,0
5544.txt,4,0
5546.txt,-1,0
5547.txt,-2,0
5548.txt,-1,0
5556.txt,4,0
5557.txt,-1,0
5564.txt,4,0
5565.txt,4,0
5568.txt,-2,0
5570.txt,4,0
5572.txt,4,0
5574.txt,4,0
5575.txt,-2,0
5577.txt,-2,0
5578.txt,4,0
5581.txt,4,0
5582.txt,4,0
5583.txt,4,0
5585.txt,-1,0
5586.txt,2,0
5598.txt,4,0
5600.txt,4,0
5601.txt,4,0
5603.txt,4,0
5605.txt,4,0
5607.txt,2,0
5608.txt,2,0
5609.txt,-2,0
5618.txt,4,0
5624.txt,4,0
5625.txt,-1,0
5627.txt,-1,0
5628.txt,3,0
5630.txt,4,0
5637.txt,-2,0
5640.txt,4,0
5645.txt,-2,0
5646.txt,4,0
5648.txt,4,0
5650.txt,4,0
5651.txt,3,0
5652.txt,4,0
5656.txt,4,0
5658.txt,4,0
5659.txt,4,0
5661.txt,4,0
5666.txt,4,0
5671.txt,4,0
5672.txt,4,0
5675.txt,4,0
5676.txt,4,0
5682.txt,-2,0
5686.txt,1,0
5687.txt,4,0
5691.txt,4,0
5694.txt,-2,0
5695.txt,4,0
5696.txt,4,0
5697.txt,1,0
5698.txt,4,0
5699.txt,4,0
5700.txt,-2,0
5701.txt,4,0
5702.txt,1,0
5706.txt,4,0
5713.txt,4,0
5714.txt,4,0
5716.txt,4,0
5717.txt,4,0
5718.txt,4,0
5746.txt,4,0
5750.txt,1,0
5751.txt,4,0
5752.txt,4,0
5758.txt,-2,0
5761.txt,4,0
5765.txt,-1,0
